ref_number,doi,reference_text,doi_url,local_pdf_status,local_pdf_path
1,10.3322/caac.21834,"Bray F, Laversanne M, Sung H, Ferlay J, Siegel RL, Soerjomataram I, et al. Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J Clin. 2024;74(3):229-263. doi:10.3322/caac.21834.",https://doi.org/10.3322/caac.21834,not_available_locally,
2,10.3322/caac.21772,"Siegel RL, Wagle NS, Cercek A, Smith RA, Jemal A. Colorectal cancer statistics, 2023. CA Cancer J Clin. 2023;73(3):233-254. doi:10.3322/caac.21772.",https://doi.org/10.3322/caac.21772,not_available_locally,
3,10.7150/ijbs.4614,"Waldner MJ, Foersch S, Neurath MF. Interleukin-6 - a key regulator of colorectal cancer development. Int J Biol Sci. 2012;8(9):1248-1253. doi:10.7150/ijbs.4614.",https://doi.org/10.7150/ijbs.4614,not_available_locally,
4,10.1038/nrclinonc.2018.8,"Johnson DE, O’Keefe RA, Grandis JR. Targeting the IL-6/JAK/STAT3 signalling axis in cancer. Nat Rev Clin Oncol. 2018;15(4):234-248. doi:10.1038/nrclinonc.2018.8.",https://doi.org/10.1038/nrclinonc.2018.8,not_available_locally,
5,10.1093/intimm/dxaa078,"Hirano T. IL-6 in inflammation, autoimmunity and cancer. Int Immunol. 2021;33(3):127-148. doi:10.1093/intimm/dxaa078.",https://doi.org/10.1093/intimm/dxaa078,not_available_locally,
6,10.1093/ije/dyg070,"Davey Smith G, Ebrahim S. “Mendelian randomization”: can genetic epidemiology contribute to understanding environmental determinants of disease? Int J Epidemiol. 2003;32(1):1-22. doi:10.1093/ije/dyg070.",https://doi.org/10.1093/ije/dyg070,not_available_locally,
7,10.7554/eLife.34408,"Hemani G, Zheng J, Elsworth B, Wade KH, Haberland V, Baird D, et al. The MR-Base platform supports systematic causal inference across the human phenome. eLife. 2018;7:e34408. doi:10.7554/eLife.34408.",https://doi.org/10.7554/eLife.34408,not_available_locally,
8,10.1001/jama.2021.18236,"Skrivankova VW, Richmond RC, Woolf BAR, Davies NM, Swanson SA, VanderWeele TJ, et al. Strengthening the Reporting of Observational Studies in Epidemiology Using Mendelian Randomization: the STROBE-MR statement. JAMA. 2021;326(16):1614-1621. doi:10.1001/jama.2021.18236.",https://doi.org/10.1001/jama.2021.18236,not_available_locally,
9,10.1371/journal.pgen.1004383,"Giambartolomei C, Vukcevic D, Schadt EE, Franke L, Hingorani AD, Wallace C, et al. Bayesian test for colocalisation between pairs of genetic association studies using summary statistics. PLoS Genet. 2014;10(5):e1004383. doi:10.1371/journal.pgen.1004383.",https://doi.org/10.1371/journal.pgen.1004383,not_available_locally,
10,10.1038/nature11252,Cancer Genome Atlas Network. Comprehensive molecular characterization of human colon and rectal cancer. Nature. 2012;487(7407):330-337. doi:10.1038/nature11252.,https://doi.org/10.1038/nature11252,not_available_locally,
11,10.1093/nar/gkv1507,"Colaprico A, Silva TC, Olsen C, Garofano L, Cava C, Garolini D, et al. TCGAbiolinks: an R/Bioconductor package for integrative analysis of TCGA data. Nucleic Acids Res. 2016;44(8):e71. doi:10.1093/nar/gkv1507.",https://doi.org/10.1093/nar/gkv1507,not_available_locally,
12,10.1016/j.cell.2018.02.052,"Liu J, Lichtenberg T, Hoadley KA, Poisson LM, Lazar AJ, Cherniack AD, et al. An integrated TCGA pan-cancer clinical data resource to drive high-quality survival outcome analytics. Cell. 2018;173(2):400-416.e11. doi:10.1016/j.cell.2018.02.052.",https://doi.org/10.1016/j.cell.2018.02.052,not_available_locally,
