"version","generated_at","figure","category","purpose","original_path","original_relative_path","fixed_path","fixed_relative_path","size_bytes","sha256","fixed_status","fixed_method","note"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Fig1__20260516_065305.png","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Fig1__20260516_065305.png","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Fig1__20260516_065305.png","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Fig1__20260516_065305.png","1478338","C8612EC87F6A610847E105A7F203E62024C0406D09CCCC1360E50F087F0B37B7","fixed","copy","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Fig1__postR_20260516_065323.png","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Fig1__postR_20260516_065323.png","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Fig1__postR_20260516_065323.png","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Fig1__postR_20260516_065323.png","1478338","C8612EC87F6A610847E105A7F203E62024C0406D09CCCC1360E50F087F0B37B7","fixed","copy","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305.md","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305.md","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305.md","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305.md","454","0B99999ABF61BF7AD403F6ACCC7C25A05D651B214E0FDE03084B889463B529D3","fixed","copy","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305.md","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305.md","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305.md","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305.md","454","0B99999ABF61BF7AD403F6ACCC7C25A05D651B214E0FDE03084B889463B529D3","fixed","copy","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305__postR_20260516_065323.md","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305__postR_20260516_065323.md","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305__postR_20260516_065323.md","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305__postR_20260516_065323.md","454","0B99999ABF61BF7AD403F6ACCC7C25A05D651B214E0FDE03084B889463B529D3","fixed","copy","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305__postR_20260516_065323__postR_20260516_065323.md","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305__postR_20260516_065323__postR_20260516_065323.md","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305__postR_20260516_065323__postR_20260516_065323.md.SOURCE_POINTER.txt","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__20260516_065305__postR_20260516_065323__postR_20260516_065323.md.SOURCE_POINTER.txt","454","0B99999ABF61BF7AD403F6ACCC7C25A05D651B214E0FDE03084B889463B529D3","pointer","pointer_after_error","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__postR_20260516_065323.md","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__postR_20260516_065323.md","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__postR_20260516_065323.md","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__postR_20260516_065323.md","454","0B99999ABF61BF7AD403F6ACCC7C25A05D651B214E0FDE03084B889463B529D3","fixed","copy","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__postR_20260516_065323__postR_20260516_065323.md","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__20260516_065305__postR_20260516_065323__postR_20260516_065323.md","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__postR_20260516_065323__postR_20260516_065323.md","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__20260516_065305__postR_20260516_065323__postR_20260516_065323.md","454","0B99999ABF61BF7AD403F6ACCC7C25A05D651B214E0FDE03084B889463B529D3","fixed","copy","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__postR_20260516_065323.md","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__postR_20260516_065323.md","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__postR_20260516_065323.md","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__postR_20260516_065323.md","454","0B99999ABF61BF7AD403F6ACCC7C25A05D651B214E0FDE03084B889463B529D3","fixed","copy","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:36","Figure_1","frozen_v37_2_copied_sources","Frozen copied/linked upstream sources from v37.2 traceability","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__postR_20260516_065323__postR_20260516_065323.md","7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\Figure_1_legend_20260516_044841__postR_20260516_065323__postR_20260516_065323.md","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__postR_20260516_065323__postR_20260516_065323.md","7_Output\v37_3_hotfix_traceability\copied_or_linked_source_files\Figure_1\frozen_v37_2_copied_sources\Figure_1_legend_20260516_044841__postR_20260516_065323__postR_20260516_065323.md","454","0B99999ABF61BF7AD403F6ACCC7C25A05D651B214E0FDE03084B889463B529D3","fixed","copy","Matched 7_Output\v37_2_all_figures_source_traceability\copied_or_linked_source_files\Figure_1\*"
