cohort	sample_id	platform	primary_probe	il6r_primary	il6r_probe_mean	inferred_group
GSE17536	GSM437093	GPL570	205945_at	7.220741991	6.599536093	normal_or_adjacent
GSE17536	GSM437094	GPL570	205945_at	6.941813389	6.711006198	normal_or_adjacent
GSE17536	GSM437095	GPL570	205945_at	6.525270012	6.11718726166667	normal_or_adjacent
GSE17536	GSM437096	GPL570	205945_at	7.276867036	6.761581119	normal_or_adjacent
GSE17536	GSM437097	GPL570	205945_at	6.573238747	6.09165472566667	normal_or_adjacent
GSE17536	GSM437098	GPL570	205945_at	7.228896284	6.508836613	normal_or_adjacent
GSE17536	GSM437099	GPL570	205945_at	6.697958732	6.38908982333333	normal_or_adjacent
GSE17536	GSM437100	GPL570	205945_at	8.071243776	7.27960048766667	normal_or_adjacent
GSE17536	GSM437101	GPL570	205945_at	6.064156566	5.91323652266667	normal_or_adjacent
GSE17536	GSM437102	GPL570	205945_at	7.172518895	6.36475155133333	normal_or_adjacent
GSE17536	GSM437103	GPL570	205945_at	6.7692961	6.32348145633333	normal_or_adjacent
GSE17536	GSM437104	GPL570	205945_at	6.71536689	6.063448326	normal_or_adjacent
GSE17536	GSM437105	GPL570	205945_at	7.583770846	6.87810845	normal_or_adjacent
GSE17536	GSM437106	GPL570	205945_at	6.943671226	6.506904815	normal_or_adjacent
GSE17536	GSM437107	GPL570	205945_at	5.932950075	5.85889978733333	normal_or_adjacent
GSE17536	GSM437108	GPL570	205945_at	6.41356156	6.322474761	normal_or_adjacent
GSE17536	GSM437109	GPL570	205945_at	6.897942591	6.60644230466667	normal_or_adjacent
GSE17536	GSM437110	GPL570	205945_at	6.822120905	6.512778782	normal_or_adjacent
GSE17536	GSM437111	GPL570	205945_at	6.126730329	5.86983372333333	normal_or_adjacent
GSE17536	GSM437112	GPL570	205945_at	7.064132367	6.63953742466667	normal_or_adjacent
GSE17536	GSM437113	GPL570	205945_at	6.242483856	6.30712702366667	normal_or_adjacent
GSE17536	GSM437114	GPL570	205945_at	6.693586916	6.28749185666667	normal_or_adjacent
GSE17536	GSM437115	GPL570	205945_at	5.788657099	5.78647995966667	normal_or_adjacent
GSE17536	GSM437116	GPL570	205945_at	6.612071145	6.323176082	normal_or_adjacent
